year,doy,temp,GrowthDD,prec,vpd,snowpack,ET,Drain,Soilwater,DWater,DwaterIx,Dwatertot,Foliage,PlantC,BudC,WoodC,RootC,LAI,NetPsnMo,GrsPsnMo,NEE,WoodMR,WoodGR,FolGR,RootGR,RootMR,SoilResp,FoliarN
1897,15,-0.6985000000000001,0,18.02,0.3323179082517868,-1474.496461457144,1.9822,22.220371900000004,12.0,1.0,0,0,0.0,636.5774508855426,134.33797407852896,212.1924836285142,76.25545258517414,0,0.0,0.0,-26.615477865619862,0.0,0,0,0.23044963869351198,0.9217985547740479,26.615477865619862,2.0
1897,46,-0.19799999999999995,0,9.37,0.30531244584073347,-1477.1150016571441,1.0307,10.9578402,12.0,1.0,0,0,0.0,636.5774508855426,134.33797407852896,212.1924836285142,74.33812257596723,0,0.0,0.0,-24.87203865472971,0.0,0,0,0.44348630638316894,1.7739452255326758,24.87203865472971,2.0
1897,74,2.8485,88.3035,11.98,0.34929940738044907,-1477.1150016571441,1.3178,10.6622,12.0,1.0,0,0,0.0,636.5774508855426,134.33797407852896,212.1924836285142,71.53172606464419,0,0.0,0.0,-33.87539437544336,0.0,0,0,0.7553081409746185,3.021232563898474,33.87539437544336,2.0
1897,105,9.63,377.2035,3.72,0.6008025333364565,-1477.1150016571441,2.278177673848072,1.4418223261519323,12.0,1.0,30,30.0,298.5288312856199,407.1463620731916,134.33797407852896,212.1924836285142,315.71941505641155,4.589349887100164,67.18889465446074,80.57797442683382,-24.025521892380013,5.640458209878368,0,33.58449351963224,3.4762258260069037,13.904903304027615,51.989464817330145,2.0
1897,135,13.9435,809.452,9.49,0.7717379194306495,-1477.1150016571441,4.628898035161731,4.861101964838288,12.0,0.9999999999999998,61,60.99999999999999,298.5288312856199,515.3908591473544,134.33797407852896,212.1924836285142,279.57106658221073,4.589349887100164,99.82160744751756,120.32699466635933,19.363947669915596,14.063347836523521,0,33.58449351963224,7.4927089898069905,29.970835959227962,72.03477015095682,2.0
1897,166,20.458,1423.192,0.26,1.1372642604630192,-1477.1150016571441,6.389283903516805,4.884241964838288,5.847576096483207,0.9999999999999996,91,90.99999999999997,298.5288312856199,677.4602029614646,134.33797407852896,212.1924836285142,220.14731107362445,4.589349887100164,112.27918321684957,144.87265192734841,-17.317222857266742,24.20443347143791,39.64907496234629,33.58449351963224,14.095348490761022,56.38139396304409,79.80624547685564,2.0
1897,196,24.526,2183.498,10.08,1.4074929732538632,-1477.1150016571441,8.219143435620088,5.781361964838288,6.811312660863126,0.9999999999999994,122,121.99999999999996,298.5288312856199,786.9517070563666,134.33797407852896,212.1924836285142,147.521216390135,4.589349887100164,86.93265015316396,130.8543999565111,-13.845593163341466,33.364241468393686,53.04812090712855,33.58449351963224,22.164914566704294,88.65965826681717,78.21938937476739,2.0
1897,227,22.5,2880.998,4.68,1.1599295682210369,-1477.1150016571441,5.603371254257429,6.197881964838288,5.471421406605681,1.0,153,152.99999999999994,298.5288312856199,872.5900630050307,134.33797407852896,212.1924836285142,107.77958151903383,4.589349887100164,77.68397715580343,113.6339827551548,3.9962436338185086,41.31862026125452,53.04812090712855,33.58449351963224,26.580651774604426,106.3226070984177,65.73335472912409,2.0
1897,258,20.1815,3486.443,22.46,1.0227870181543568,-1477.1150016571441,5.921994030325702,10.009427376279994,12.0,0.9999999999999992,183,182.99999999999991,298.5288312856199,939.6196908056608,134.33797407852896,212.1924836285142,85.495428987342,4.589349887100164,60.91103763704018,87.40843090842675,-39.68412463399751,47.437210424844395,53.04812090712855,33.58449351963224,29.056668722570183,116.22667489028073,94.47657210744782,2.0
1897,288,12.125499999999999,3862.3335,12.72,0.6778350280583337,-1477.1150016571441,2.7802759381753064,9.9397240618247,12.0,0.9999999999999997,214,213.99999999999991,274.6465247827703,982.4257404695201,134.33797407852896,212.1924836285142,77.33382854431926,4.222201896132152,39.11172058281573,52.77612972919542,-28.240603198920777,51.13153950588807,53.04812090712855,33.58449351963224,29.963513216239377,119.85405286495751,63.657994700692825,2.0
